Rank,Restaurant,Content,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
23,Chili's Grill & Bar,NA,3563,0.022,1242,-0.007,NA,Casual Dining & Varied Menu
24,Jack in the Box,NA,3504,0.011,2243,0.003,NA,Quick Service & Burger
25,IHOP,NA,3266,0.02,1710,0.003,NA,Family Dining & Family Style
26,Texas Roadhouse,NA,3016,0.11,553,0.038,NA,Casual Dining & Steak
27,Denny's,NA,2691,0.011,1558,-0.015,NA,Family Dining & Family Style
28,Papa John's,NA,2638,-0.027,3142,-0.018,NA,Quick Service & Pizza
29,Outback Steakhouse,NA,2635,0.009,724,-0.012,NA,Casual Dining & Steak
30,Whataburger,NA,2556,0.058,830,0.006,NA,Quick Service & Burger
31,Red Lobster,NA,2490,0.016,679,0.001,NA,Casual Dining & Seafood
32,Cracker Barrel,"Cracker Barrel made the most surprising deal of 2019 when it took a $140 million stake in growth chain Punch Bowl Social. But that investment was tested in March, when the chain said it would not rescue Punch Bowl from foreclosure amid the coronavirus crisis, choosing instead to focus on helping its flagship chain and newly acquired Maple Street Biscuit Co.",2482,0.018,660,0.008,NA,Family Dining & Family Style
33,The Cheesecake Factory,NA,2180,0.025,206,0.025,NA,Casual Dining & Varied Menu
34,Jimmy John's Gourmet Sandwiches,NA,2105,-0.016,2787,-0.005,NA,Fast Casual & Sandwich
35,Hardee's,NA,2020,-0.04,1820,-0.014,NA,Quick Service & Burger
36,Zaxby's,NA,1886,0.06,910,0.013,NA,Fast Casual & Chicken
37,LongHorn Steakhouse,NA,1867,0.063,530,0.019,NA,Casual Dining & Steak
38,Culver's,"One of the country's fastest-growing chains over the past five years continued that trajectory in 2019, increasing sales by 13.9% and unit count by 6.7%. Because more than half of its sales come from takeout, it was working to improve its drive-thru technology and add mobile ordering.",1795,0.139,732,0.067,NA,Quick Service & Burger
39,Golden Corral,NA,1746,0.008,483,-0.012,NA,Quick Service & Family Casual
40,Five Guys Burgers and Fries,NA,1661,0.074,1368,0.007,NA,Fast Casual & Burger
